Nom,Code_Postal,Commune,Latitude,Longitude,Type
Plage des Raisins Clairs,97118,Saint-François,16.250192849999998,-61.280335252590376,beach
Plage du Haut du Bourg,97118,Saint-François,16.2506377,-61.2675518,beach
Plage de la Pointe des Pies,97118,Saint-François,16.25092,-61.265553491660725,beach
Plage du Lagon,97118,Saint-François,16.2519513,-61.26438667657909,beach
Plage d'Anse Champagne,97118,Saint-François,16.25312155,-61.26204099224294,beach
Plage de l'Anse des Rochers,97118,Saint-François,16.2420741,-61.30588096398627,beach
Anse à la Baie,97118,Saint-François,16.2784098,-61.248199281310676,beach
Plage des Rouleaux,97118,Saint-François,16.27349545,-61.24325521991395,beach
Plage de la Douche,97118,Saint-François,16.2530775,-61.23100070992571,beach
Plage de la douche,97118,Saint-François,16.2528635,-61.22988467616641,beach
Anse Canot,97134,Saint-Louis,15.981853399999999,-61.30549652586426,beach
Plage des Sources,97134,Saint-Louis,16.0273327,-61.74835409528754,beach
Plage du Vieux Fort,97134,Saint-Louis,15.9877459,-61.30150112603694,beach
Plage d'Anse du Val de l'Orge,97134,Saint-Louis,16.040281049999997,-61.75490434892015,beach
Plage d'Anse Bambou,97134,Saint-Louis,15.99218105,-61.29869161612311,beach
Plage de Rocroy,97134,Saint-Louis,16.04659015,-61.76089250991379,beach
Plage d'Anse à Coq,97134,Saint-Louis,15.992527299999999,-61.252348462854656,beach
Plage du Bourg,97180,Sainte-Anne,16.222571000000002,-61.38097426571734,beach
La Caravelle,97180,Sainte-Anne,16.218232399999998,-61.39450045445376,beach
Plage d'Anse du Belley,97180,Sainte-Anne,16.2326105,-61.36823032510067,beach
Plage de Bois Jolan,97180,Sainte-Anne,16.23728375,-61.34715958678582,beach
Plage de Gros Sable,97180,Sainte-Anne,16.2414418,-61.33933869077809,beach
Plage Mambia,97115,Sainte-Rose,16.345109649999998,-61.717643726043804,beach
Plage d'Anse du Petit Fort,97115,Sainte-Rose,16.36051425,-61.74227310174806,beach
Plage de l'Anse des Îles,97115,Sainte-Rose,16.3567246,-61.747154454314725,beach
Plage,97115,Sainte-Rose,16.35525475,-61.759146263917145,beach
Plage de Grande-Anse,97136,Terre-de-Bas,15.85944395,-61.624811243532776,beach
Plage de Grand Baie,97136,Terre-de-Bas,15.8555148,-61.62044851040858,beach
Plage de l'Anse à Dos,97136,Terre-de-Bas,15.85403465,-61.646856359700905,beach
Plage d'Anse Rodrigue,97136,Terre-de-Bas,15.85800055,-61.579576682314,beach
Plage d'Anse du Figuier,97136,Terre-de-Bas,15.85904835,-61.588745982678915,beach
Plage de Pompierre,97136,Terre-de-Bas,15.8721812,-61.57139823307925,beach
Plage du Pain de Sucre,97136,Terre-de-Bas,15.863518,-61.59876457041109,beach
Plage d'Anse Crawen,97136,Terre-de-Bas,15.8577711,-61.602652890899776,beach
Plage de l'Anse du Grand-Etang,97136,Terre-de-Bas,15.8392761,-61.58734369686084,beach
Plage d'Anse Rodrigue,97137,Terre-de-Haut,15.85800055,-61.579576682314,beach
Plage d'Anse du Figuier,97137,Terre-de-Haut,15.85904835,-61.588745982678915,beach
Plage de Pompierre,97137,Terre-de-Haut,15.8721812,-61.57139823307925,beach
Plage du Pain de Sucre,97137,Terre-de-Haut,15.863518,-61.59876457041109,beach
Plage d'Anse Crawen,97137,Terre-de-Haut,15.8577711,-61.602652890899776,beach
Plage de l'Anse du Grand-Etang,97137,Terre-de-Haut,15.8392761,-61.58734369686084,beach
Plage d'Anse Bambou,97141,Vieux-Fort,15.99218105,-61.29869161612311,beach
Plage du Vieux Fort,97141,Vieux-Fort,15.9877459,-61.30150112603694,beach
Anse Canot,97141,Vieux-Fort,15.981853399999999,-61.30549652586426,beach
Plage de Moustique,97141,Vieux-Fort,15.978006950000001,-61.30778149752429,beach
Plage d'Anse à Coq,97141,Vieux-Fort,15.992527299999999,-61.252348462854656,beach
Plage de Folle Anse,97141,Vieux-Fort,15.94934955,-61.32334671335073,beach
Plage de Simaho,97119,Vieux-Habitants,16.05715185,-61.76857369415267,beach
Plage de l'Étang,97119,Vieux-Habitants,16.0683875,-61.76889955787496,beach
Plage de Rocroy,97119,Vieux-Habitants,16.04659015,-61.76089250991379,beach
Plage d'Anse du Val de l'Orge,97119,Vieux-Habitants,16.040281049999997,-61.75490434892015,beach
